Station code,water_bodies,Station name,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,,5.4,8.21,738,1.2,0.52,,Less than 1.8,33,Less than 1.8,,,,18,5,198,72,32,1.5,0.4,,210,48,120,21.87,90,37,,456,270,13,0.2,0.05,0.5,,0.87,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",,7.4,8.21,612,3.6,20,0.1,3.6,20,1.8,,,,2.9,16,160,56,30,4,0.4,BDL,182.3,40,100,20,82.3,22,32,342.72,239.9,7,,0.05,0.5,4,0.2,27.16,1.03,,
1157,River Manjeera,River Manjeera at Raipally,,7.1,7.56,720,2.6,24,0.04,4.5,36,2,,,,3.2,10,212,90,24,4,0.4,BDL,258.15,44,110,36,148.15,52,48,446,312.2,8,,0.13,0.5,6,0.2,28.28,1.3,,
1781,River Manjeera,Manjeera at Ganapathi sugars,,6.4,7.82,814,4,30,0.05,5.5,34,2,,,,3.2,12,228,114,38,5,0.4,BDL,285.23,68,170,28,115.23,62,60,559,391.3,8,,0.12,0.5,4.2,0.2,31.08,1.55,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,,6.2,7.65,1172,4.1,34,0.05,6,31,3.7,,,,3.3,10,280,142,40,4,0.4,BDL,384.61,88,220,40,164.61,60,76,656.32,459.42,7,,0.11,0.5,4.2,0.2,29.85,1.69,,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,,6.3,7.74,824,4.3,30,0.04,6.1,36,4,,,,3.1,10,140,160,44,4,0.4,BDL,255.23,56,140,28,115.23,40,60,494,345.8,9,,0.12,0.5,4.2,0.31,33.46,1.64,,
2349,River Manjeera,Nakka vagu at Bachugudem,,4.1,7.26,1880,6.5,40,0.05,7.8,79,5.5,,,,4.1,10,432,199,72,5,0.4,BDL,414.61,100,250,40,164.61,70,170,1052.8,736.96,7,,0.16,0.5,8,0.2,46.64,3.64,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,,6.6,8.12,980,2.5,36,0.05,5.5,63,3.6,,,,3.5,10,200,100,26,6,0.4,BDL,242.3,64,160,20,82.3,29,54,539,377.3,8,,0.42,0.5,9,0.2,31.72,1.51,,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,,5.2,7.52,453,1.8,0.42,,Less than 1.8,24,Less than 1.8,,,,20,5,148,37,34,1.5,0.4,,148,37.6,94,13.12,54,20,,286,190,18,0.42,0.05,0.5,,0.57,,,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,,5.6,7.74,508,1.2,1.1,,Less than 1.8,27,Less than 1.8,,,,6,5,165,42,24,1.5,0.4,,203,59.6,149,13.12,54,24,,314,210,10,0.2,0.05,0.5,,0.42,,,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,,5.4,7.4,471,1.4,0.52,,Less than 1.8,33,Less than 1.8,,,,22,5,152,39,28,1.5,0.4,,128,33.6,84,10.69,44,22,,294,190,20,0.2,0.05,0.5,,0.72,,,,
1784,River Krishna ,River Krishna at thangadi,,6,7.9,728,1.4,0.78,,2,49,Less than 1.8,,,,12.4,5,175,76,26,2.24,0.56,,190,42,105,20.66,85,48,,452,300,10,0.2,0.05,0.5,,0.2,,,,
39,River Krishna ,River Krishna at Gadwal bridge,,6,7.99,1224,1.4,1.67,,4,49,Less than 1.8,,,,12,5,190,180,26,3.36,0.56,,230,48,120,26.73,110,124,,734,440,14,0.2,0.05,0.5,,0.27,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",,5.4,7.8,1368,1.8,2.98,,6.8,70,Less than 1.8,,,,15,5,220,195,32,4.48,0.56,,240,60,150,21.87,90,120,,838,550,12,0.2,0.05,0.5,,0.21,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,,6.5,7.51,711,3.4,20,0.06,3.6,25,1.8,,,,3.3,8,120,130,26,6,0.4,BDL,240,56,140,24,100,46,44,398.16,278.71,8,,0.05,0.5,2,0.2,28.48,1.24,,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",,6.5,7.92,702,3.5,24,0.04,6,34,3.7,,,,3.1,12,140,114,28,5,0.4,BDL,225.23,44,110,28,115.23,30,40,393.12,275.18,8,,0.05,0.5,2.9,0.2,27.6,1.16,,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,,6.8,7.55,1125,3.3,20,0.04,6.8,38,4,,,,3,8,236,130,26,4,0.4,BDL,275.23,64,160,28,115.23,60,84,630.0,441.0,7,,0.12,0.5,2,0.32,39.77,2.21,,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",,6.5,7.83,1128,4.4,32,0.06,6.1,40,3.7,,,,3.1,8,172,128,44,5,0.4,BDL,250,60,150,24,100,64,70,602,421.4,8,,0.26,0.5,3,0.51,37.7,1.93,,
4250,River Krishna ,"Palair Reservoir, Khammam",,5.8,7.68,490,1.2,0.58,,Less than 1.8,33,Less than 1.8,,,,4,5,128,61,22,1.5,0.4,,158,34,85,17.74,73,36,,304,210,10,1.74,0.9,0.5,,0.73,,,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",,5.4,7.06,569,1.8,1.64,,Less than 1.8,49,Less than 1.8,,,,8,5,148,66,32,1.5,0.4,,225,58,145,19.44,80,39,,348,230,10,0.78,0.46,0.5,,0.75,,,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),,6.9,7.53,1106,4.4,24,0.05,4.5,36,2,,,,3.2,8,244,134,48,6,0.4,BDL,275.23,64,160,28,115.23,70,68,619.36,433.55,9,,0.21,0.5,4,0.2,34.63,1.79,,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),,6.3,7.89,1130,4.1,32,0.04,5.5,34,2,,,,3.4,8,220,170,40,5,0.4,BDL,275,60,150,30,125,50,105,632.8,442.96,7,,0.22,0.5,4.6,0.2,45.1,2.77,,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,,6.9,7.86,1134,3.5,24,0.05,4.5,40,1.8,,,,3.1,20,200,174,30,5,0.4,BDL,240,64,160,19,80,28,103,635.04,444.53,8,,0.32,0.5,4.8,0.2,47.52,2.88,,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,,0.3,6.8,1317,8,2.41,,33,540,9.2,,,,32,5,208,191,100,19.04,7.28,,323,71.2,178,35.23,145,120,,816,550,22,3.62,1.72,0.5,,1.94,,,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",,0.3,6.98,1286,10,9.3,,46,540,9.3,,,,30,5,170,203,112,16.8,5.6,,313,83.2,208,25.52,105,126,,798,540,20,3.44,1.36,0.58,,0.78,,,,
2339,River Musi,River Musi at Nagole,,0.3,6.87,1267,10,2.34,,49,430,6.8,,,,34,5,190,189,116,19.6,8.4,,333,87.2,218,27.95,115,116,,780,530,28,3.1,1.74,0.54,,1.8,,,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",dried up(under renovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660,River Musi,River Musi at Peerajadiguda,,0.3,6.77,1363,8,1.98,,46,540,9.3,,,,28,5,273,191,92,14,6.16,,328,75.2,188,34.02,140,122,,844,550,22,3.52,1.36,0.58,,0.74,,,,
1173,River Musi,D/s. of Musi at Pratapasingaram,,0.3,6.78,1336,8.4,11.38,,33,430,9.2,,,,25,5,220,184,120,17.92,9.52,,333,73.2,183,36.45,150,109,,840,520,20,3.81,1.44,0.5,,2.04,,,,
4657,River Musi,River Musi at Pillaipalli,,0.3,6.76,1279,8,9.53,,24,350,6.1,,,,20,5,208,167,91,11.2,3.36,,348,77.2,193,37.66,155,104,,806,540,18,4.1,2.12,0.5,,2.57,,,,
4254,River Musi,River Musi sample at Rudravelly bridge,,5.8,7.25,1455,4,40,0.04,6.1,70,4.5,,,,3.5,6,380,124,39,5,0.4,BDL,260,72,180,20,80,36,108,786,550.2,8,,0.65,0.5,15,0.2,45.59,2.91,,
