Station code,water_bodies,Station name,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
4238,Lakes  & Tanks,"Ameenpur Cheruvu,",,6.1,8.06,1537,3.7,52,0.16,6.1,58,3.7,,,,7.6,10,300,240,29,5,0.4,BDL,435,88,220,52,215,59,99,860.72,602.5,9,,0.56,0.5,7,0.2,32.8,2.07,,
4239,Lakes  & Tanks,"Mahaboobsagar Tank,",,6.5,7.67,1198,3.2,34,0.17,4.5,49,1.8,,,,5.8,16,230,142,28,4,0.4,BDL,253.46,52,130,30,123.46,32,86,640,448,8,,0.19,0.5,5,0.2,41.95,2.35,,
4244,Lakes  & Tanks,"Erdanoor Tank,",,6.8,7.33,2260,3.6,40,0.12,5.5,40,2,,,,7.7,8,184,470,34,5,0.4,BDL,555,116,290,64,265,48,194,1265.6,885.92,8,,0.05,0.5,8,0.2,42.91,3.59,,
4245,Lakes  & Tanks,"Mallepally Tank,",,6.2,7.72,1831,4,45,0.16,3.6,27,1.8,,,,5.5,16,280,380,40,4,0.4,BDL,420,108,270,36,150,84,180,1025.36,717.75,8,,0.05,0.5,11,0.2,47.63,3.84,,
4661,Lakes  & Tanks,Peddakanjarla Tank,,6.2,7.26,680,3.6,22,0.12,2,26,Less than 1.8,,,,3,8,156,84,34,1.5,0.4,BDL,200,40,100,24,100,39,39,380.8,266.56,7,,0.05,0.5,8,0.2,28.95,1.21,,
4666,Lakes  & Tanks,Ismailkhanpet Tank,,6.5,7.03,1380,4,47,0.16,3.7,31,1.8,,,,4.5,12,220,165,44,4,0.4,BDL,325,78,195,32,130,52,92,762,533.4,7,,0.05,0.5,11,0.2,37.09,2.22,,
4688,Lakes  & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",,6.1,7.59,781,3.3,27,0.13,3.6,34,1.8,,,,3.7,4,140,154,24,4,0.4,BDL,220,48,120,24,100,42,74,499,349.3,8,,0.05,0.5,9,0.2,41.24,2.18,,
4234,Lakes  & Tanks,"Umda sagar lake, Shamshabad",,0.3,7.88,1430,8,2.43,,47,540,9.3,,,,24,5,93,287,100,16.8,6.72,,257,60,150,26.0,107,178,,916,590,11,1.72,1.1,0.5,,0.84,,,,
4235,Lakes  & Tanks,Lake Kamuni ( Shamshabad Lake),,0.3,7.79,1489,8,2.01,,46,430,6.8,,,,30,5,185,233,80,14,12.6,,352,89.2,223,31.35,129,148,,930,610,15,1.47,0.82,0.5,,0.22,,,,
5133,Lakes  & Tanks,"Chandana Cheruvu, Jillelguda,",,0.3,7.94,1371,8,0.99,,17,350,4.5,,,,20,5,220,203,84,14,5.6,,287,71.2,178,26.49,109,125,,864,560,26,1.68,1.06,0.5,,0.27,,,,
5134,Lakes  & Tanks,"Manthrala Cheruvu, Meerpet",,0.3,7.61,1263,8,1.14,,32,430,6.8,,,,28,5,280,188,96,11.2,5.04,,253,64,160,22.6,93,88,,792,540,20,1.92,0.62,0.5,,0.44,,,,
4222,Lakes  & Tanks,"Koneru, Kondagattu temple, Jagitiyal",,5.3,7.87,628,2.8,0.91,,Less than 1.8,49,Less than 1.8,,,,18,5,120,88,47,1.5,0.4,,150,34,85,15.79,65,54,,376,230,14,0.2,0.05,0.5,,0.2,,,,
4223,Lakes  & Tanks,"Vemulawada temple Koneru , Karimnagar",,4.3,7.78,1005,2,5.13,,2,110,Less than 1.8,,,,10,5,150,147,31,2.8,0.56,,189,48,120,16.77,69,92,,604,360,16,0.2,0.05,0.5,,0.39,,,,
1464,Lakes  & Tanks,Bibinagar Tank,,6.1,8.2,1505,3.9,62,0.15,4,43,1.8,,,,7.1,28,284,220,46,4,0.4,BDL,404.61,96,240,40,164.61,48,84,842.8,589.96,11,,0.05,0.5,11,0.2,30.47,1.82,,
4224,Lakes  & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes  & Tanks,Kistaipally Cheruvu,,4.8,7.34,4900,8.5,80,0.35,6,63,4.5,,,,9.5,16,528,940,82,14,0.4,BDL,1410,288,720,168,690,170,350,2744.0,1920.8,32,,0.11,0.5,14,0.52,34.84,4.06,,
4231,Lakes  & Tanks,"Rayam Cheruvu,",,5.5,6.98,1900,4.9,32,0.15,4.5,41,2,,,,7.4,12,240,330,60,6,0.4,BDL,377.53,72,180,48,197.53,60,150,985,689.5,16,,0.05,0.5,6.9,0.41,45.88,3.36,,
4232,Lakes  & Tanks,"Komati Cheruvu,",,7.2,7.36,792,3.5,24,0.12,3.6,24,1.8,,,,5.3,8,175,145,30,5,0.4,BDL,285.23,68,170,28,115.23,41,50,492,344.4,9,,0.05,0.5,6,0.31,27.16,1.29,,
4233,Lakes  & Tanks,"Gaddapotharam cheruvu,",,5,6.98,3010,7.8,90,0.19,5.5,49,3.6,,,,7.6,12,308,850,74,4,0.4,BDL,1079.75,264,660,102,419.75,160,310,1990,1393,8,,0.24,0.5,16,0.2,38.09,4.11,,
4228,Lakes  & Tanks,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",,0.3,6.75,1424,10,14.89,,49,540,9.2,,,,46,5,210,201,107,17.92,8.4,,318,93.2,233,20.66,85,126,,912,600,44,3.2,1.41,0.5,,1.66,,,,
1391,Lakes  & Tanks,Hussain sagar Lake,,0.3,6.9,1396,6.4,7.89,,40,540,4.8,,,,24,5,230,191,83,16.8,3.36,,348,84,210,33.53,138,120,,826,520,16,3.12,1.22,0.56,,1.56,,,,
3071,Lakes  & Tanks,Langarhouse lake,,0.3,6.8,1264,6.4,9.76,,46,430,9.2,,,,32,5,250,157,88,12.88,5.6,,323,82,205,28.67,118,98,,783,530,24,4.16,1.48,0.5,,0.85,,,,
2341,Lakes  & Tanks,"Miralam tank,kishan bagh",,1.2,6.75,1261,5.4,10.98,,14,350,4,,,,25,5,240,164,63,11.2,3.92,,388,99.2,248,34.02,140,102,,782,520,22,2.66,0.92,0.5,,1.08,,,,
3073,Lakes  & Tanks,"Hasmathpet lake, Hasmathpet",,0.3,6.8,882,8.2,4.21,,21,350,6.8,,,,28,5,140,149,118,18.48,12.36,,218,48,120,23.81,98,92,,556,370,22,3.46,1.62,0.5,,0.75,,,,
3072,Lakes  & Tanks,Safilguda lake,,0.3,6.45,1132,6,3.18,,47,540,9.3,,,,38,5,218,142,88,19.04,6.72,,338,76,190,35.96,148,88,,690,460,26,4.56,2.1,0.5,,1.08,,,,
3075,Lakes  & Tanks,Rangadhamuni cheruvu,,0.3,7.05,1067,6,3.24,,46,540,9.3,,,,30,5,240,166,74,16.8,5.6,,278,117,160,28.67,118,98,,662,450,26,2.76,1.32,0.5,,0.38,,,,
3076,Lakes  & Tanks,"Amber cheruvu, Kukatpally",,0.3,6.82,1174,8,3.25,,21,350,6.8,,,,18,5,203,172,99,11.2,5.6,,343,78,195,35.96,148,108,,728,480,16,3.72,1.86,0.5,,0.69,,,,
3077,Lakes  & Tanks,"Kapra cheruvu, Kapra",,0.6,6.46,887,5.8,3.59,,14,350,4.5,,,,12,5,240,88,73,7.84,2.24,,263,56,140,29.89,123,54,,550,360,10,1.92,0.76,0.5,,0.75,,,,
2357,Lakes  & Tanks,Durgam cheruvu,,1,6.87,1094,6,2.21,,24,430,4,,,,22,5,195,140,78,11.2,6.16,,313,74,185,31.1,128,88,,688,470,18,2.1,1.36,0.5,,1.14,,,,
2344,Lakes  & Tanks,Nalla cheruvu (Nacharam),under renovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,Lakes  & Tanks,"Pedda Cheruvu, Nacharam",,0.3,6.83,1235,6.2,2.15,,39,430,9.2,,,,25,5,318,154,74,16.8,9.52,,373,80.8,202,41.55,171,94,,766,540,22,3.34,1.2,0.5,,1.19,,,,
2342,Lakes  & Tanks,Noor Md. Kunta,,0.3,8.08,1960,6.1,14.23,,49,540,9.3,,,,32,5,230,311,68,20.16,6.72,,290,64,160,31.59,130,196,,1254,850,16,2.1,1.08,0.6,,0.38,,,,
3070,Lakes  & Tanks,"Fox sagar, Jeedimetla",,2.9,7.32,1274,5.4,2.27,,14,350,2,,,,20,5,190,228,66,5.6,1.12,,223,50,125,23.81,98,144,,790,530,16,3.2,1.32,0.5,,1.02,,,,
3074,Lakes  & Tanks,Banjara Lake,not collected due to lake covered with water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237,Lakes  & Tanks,Mundla Katwa Lake,,0.3,6.63,820,10,2.29,,47,540,9.3,,,,44,5,223,98,191,16.8,6.72,,293,64,160,32.32,133,58,,516,340,38,2.14,1.24,0.5,,1.1,,,,
4669,Lakes  & Tanks,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",,0.3,6.7,1093,8,2.31,,46,540,9.3,,,,22,5,275,123,87,16.8,6.16,,353,84,210,34.75,143,76,,682,460,28,1.82,0.9,0.5,,0.67,,,,
4671,Lakes  & Tanks,"Medi Kunta, Guttala Begumpet (V)",not collected due to lake covered with water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes  & Tanks,"Medi Kunta (Wipro Lake), Nanakramguda",,2.41,7.17,1236,4.8,3.14,,11,210,6.1,,,,18,5,128,220,54,5.6,1.68,,160,47.2,118,10.21,42,154,,766,520,14,2.14,1.1,0.5,,0.59,,,,
4673,Lakes  & Tanks,Medikunta lake (BK Enclave),dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes  & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally",,4.18,6.44,865,4.8,4.31,,9.3,79,Less than 1.8,,,,10,5,148,127,60,4.48,1.12,,328,78,195,32.32,133,72,,538,360,10,2.76,1.32,0.5,,1.04,,,,
4693,Lakes  & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4677,Lakes  & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur",,0.3,7.85,1431,6.6,19.03,,49,430,9.2,,,,28,5,230,202,95,18.48,10.08,,254,72,180,17.98,74,113,,860,510,22,2.94,1.32,0.5,,1.55,,,,
5044,Lakes  & Tanks,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",dry(under renovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5052,Lakes  & Tanks,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",,0.3,6.52,511,8,3.09,,11,210,Less than 1.8,,,,35,5,140,59,83,3.36,1.68,,198,43.2,108,21.87,90,37,,316,200,32,2.9,1.22,0.5,,0.4,,,,
5053,Lakes  & Tanks,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5054,Lakes  & Tanks,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5055,Lakes  & Tanks,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",,0.3,8.18,839,8,2.48,,17,350,2,,,,24,5,195,88,98,10.04,5.6,,248,59.2,148,24.3,100,54,,536,340,20,3.26,1.2,0.5,,0.87,,,,
5056,Lakes  & Tanks,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",dry(Under renovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5057,Lakes  & Tanks,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5058,Lakes  & Tanks,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",,2.6,7.14,1436,3.2,1.88,,17,350,4.5,,,,25,5,210,211,64,14,3.36,,258,60.4,151,26.0,107,130,,890,580,18,1.66,1.14,0.5,,2.07,,,,
5059,Lakes  & Tanks,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",,0.3,6.85,1138,8,5.96,,21,350,4.5,,,,22,5,220,162,84,11.2,4.48,,318,89.2,223,23.09,95,102,,716,440,16,3.66,1.3,0.5,,1.12,,,,
5060,Lakes  & Tanks,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",not collected due to lake is covered with water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5061,Lakes  & Tanks,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5062,Lakes  & Tanks,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",dry(Under renovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5063,Lakes  & Tanks,"Nanakram Kunta, Nanakraamguda,",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5114,Lakes  & Tanks,"Shanthisarovor Pond, Gachibowli, Serilingmapally",dred up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5115,Lakes  & Tanks,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",,0.3,6.91,1242,6,3.67,,24,430,6.8,,,,26,5,310,162,60,10.04,4.8,,313,72,180,32.32,133,104,,782,420,12,2.12,1.34,0.5,,0.36,,,,
5116,Lakes  & Tanks,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",,2.8,6.83,1102,4,2.52,,24,350,6.1,,,,30,5,210,154,40,11.2,3.36,,288,68,170,28.67,118,97,,682,460,26,3.18,1.26,0.5,,1.04,,,,
5118,Lakes  & Tanks,"Kotha Kunta, Haffezpet, Serilingampally (M)",,0.3,6.59,543,6,3.15,,14,280,Less than 1.8,,,,18,5,130,66,68,6.72,2.8,,168,47.2,118,12.15,50,40,,346,220,14,3.14,1.72,0.5,,1.76,,,,
5119,Lakes  & Tanks,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",dred up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5120,Lakes  & Tanks,"Thammidi Kunta, Khanamet, Serilingampally",dred up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5124,Lakes  & Tanks,TCS Synergy Park Lake,,5.2,7.29,806,1.2,1.98,,Less than 1.8,49,Less than 1.8,,,,28,5,140,137,20,1.5,0.4,,233,56,140,22.6,93,86,,508,320,22,0.36,0.05,0.5,,1.06,,,,
5125,Lakes  & Tanks,"Mondi Kunta, Khanamet, Serilingmampally",dred up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131,Lakes  & Tanks,"Yellamma Cheruvu, Manikonda, Rajenderanagar",water hyacinth in the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes  & Tanks,Saki Tank,,6.4,7.35,1120,3.5,30,0.09,5.5,44,3.6,,,,4.9,8,228,146,31,5,0.4,BDL,252.3,68,170,20,82.3,40,84,627.2,439.04,8,,0.52,0.5,6,0.2,41.37,2.3,,
4684,Lakes  & Tanks,Campus Lake Icrisat,Samples not Collected  by RO-Sangareddy due to threat from leapord in ICRISAT premises ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4685,Lakes  & Tanks,Surisigal Lake Icrisat,Samples not Collected  by RO-Sangareddy due to threat from leapord in ICRISAT premises ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4686,Lakes  & Tanks,Icrisat Lake,Samples not Collected  by RO-Sangareddy due to threat from leapord in ICRISAT premises ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4687,Lakes  & Tanks,Red Lake Icrisat,Samples not Collected  by RO-Sangareddy due to threat from leapord in ICRISAT premises ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Lakes  & Tanks,Saroornagar Lake / Large Tank,,0.3,7.77,1283,18,18.31,,39,430,6.8,,,,22,5,260,181,203,11.76,3.36,,322,69.2,173,36.21,149,114,,796,540,22,1.82,0.96,0.56,,0.43,,,,
2343,Lakes  & Tanks,Premajipet TANK,No Access(gate was locked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,Lakes  & Tanks,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",,0.3,7.87,880,10,9.34,,49,540,9.3,,,,28,5,160,110,124,16.8,5.6,,185,40.8,102,20.17,83,70,,546,370,17,2.72,1.06,0.5,,0.2,,,,
4678,Lakes  & Tanks,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",,0.3,7.2,1145,14,8.72,,17,350,4.5,,,,22,5,93,203,335,12.88,5.6,,204,45.6,114,21.87,90,136,,686,412,20,1.36,0.62,0.5,,2.17,,,,
4679,Lakes  & Tanks,HUDA Park Lake,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal Malkajigiri District.",,0.3,7.78,1245,10,13.75,,27,430,4.5,,,,25,5,220,162,128,14,6.16,,244,53.6,134,26.73,110,92,,746,450,20,1.96,0.88,0.5,,0.3,,,,
4692,Lakes  & Tanks,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",,0.3,7.33,1065,14,9.12,,21,350,6.1,,,,20,5,98,179,203,10.64,2.8,,209,47.6,119,21.87,90,120,,640,380,17,1.62,0.96,0.5,,1.07,,,,
4699,Lakes  & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4702,Lakes  & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",,3.8,7.43,1668,12,10,,6.1,350,,,,,16,432,432,181,111,39,17,0.27,400,96,240,39,160,76,188,884,646,12,2.04,,0.12,23,0.84,49,4.1,,
4703,Lakes  & Tanks,"Bulbul kunta, Lakshmiguda, rajendranagar",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes  & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",,0.3,7.69,900,8.2,2.54,,24,350,6.1,,,,16,5,120,145,153,9.52,4.48,,149,39.6,99,12.15,50,94,,548,370,17,1.84,0.66,0.5,,0.39,,,,
5040,Lakes  & Tanks,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",,0.3,7.68,1396,12,13.99,,33,430,6.8,,,,19,5,190,202,287,16.8,5.6,,228,60,150,18.95,78,140,,848,560,14,1.62,0.76,0.5,,0.35,,,,
5041,Lakes  & Tanks,"Pathulguda, Uppal, Medchal Dist.",,0.3,7.97,1340,8,1.26,,32,540,9.3,,,,22,5,180,213,122,13.44,3.36,,264,55.6,139,30.38,125,140,,830,550,18,1.38,0.94,0.5,,0.49,,,,
5113,Lakes  & Tanks,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",,0.3,7.7,1172,10,6.32,,17,350,6.8,,,,14,5,88,225,163,11.2,4.48,,199,40,100,24.06,99,132,,706,420,12,1.74,0.68,0.5,,0.74,,,,
5117,Lakes  & Tanks,"Masjid Banda Lake, Kondapur, Serlingampally",Not collected due to enroachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,Lakes  & Tanks,"Pale Cheruvu, Kattedan",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,Lakes  & Tanks,"Bathula Cheruvu, Amangal, Hayathnagar",,0.3,7.84,1114,8,2.56,,47,540,9.2,,,,18,5,110,186,139,8.96,2.8,,193,47.2,118,18.22,75,122,,690,460,15,1.76,0.82,0.5,,0.75,,,,
5127,Lakes  & Tanks,"Kummari Kunta, Amangal, Hayathnagar",,0.3,7.58,848,8,1.66,,21,350,4,,,,14,5,130,118,100,7.84,2.24,,140,33.6,84,13.61,56,76,,518,330,12,1.62,0.9,0.5,,0.28,,,,
5128,Lakes  & Tanks,Palle cheruvu,Not collected by  RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,Lakes  & Tanks,"Erra Kunta, Laxmiguda, Rajenderanagar",,0.3,7.41,1523,10,9.44,,40,540,9.2,,,,32,5,210,228,159,18.48,6.16,,233,60,150,20.17,83,143,,960,640,28,1.64,0.78,0.58,,0.38,,,,
5130,Lakes  & Tanks,"Pathikunta, Budwel, Rajendranagar",,2.1,7.78,1013,5,2.26,,22,350,4.5,,,,25,5,280,105,68,11.76,4.48,,320,84,210,26.73,110,65,,618,410,21,1.8,1.1,0.5,,0.43,,,,
5132,Lakes  & Tanks,"Malkam Cheruvu, Raidurgam, Serilingampally",,1.6,7.3,1668,32,15,,2,220,,,,,,5,310,285,226,Less than 5,Less than 5,BDL,316,72,180,33,136,95,247,994,728,95,0.8,,0.12,36,0.54,60,6,,
5498,Lakes  & Tanks,"Suleman cheruvu ,kattedam(v),Ragendra nagar(m)Rangareddy dist",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,Lakes  & Tanks,"Chinnarayan Cheruvu, Alwal (V)",,0.3,7.66,720,8,12.19,,39,540,9.3,,,,20,5,88,120,100,19.6,8.4,,140,32,80,14.58,60,86,,440,280,18,3.1,1.62,0.54,,0.74,,,,
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",,0.3,7.86,1288,6.8,11.91,,46,350,6.8,,,,24,5,260,174,92,16.8,6.16,,309,76,190,28.92,119,108,,772,460,18,3.04,1.1,0.5,,1.75,,,,
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",,0.3,6.73,1192,6,5.33,,46,540,9.3,,,,26,5,185,162,76,16.8,6.16,,298,76,190,26.24,108,104,,750,480,18,3.71,0.92,0.5,,0.55,,,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",,2.1,7.98,1072,4,3.02,,21,350,6.1,,,,22,5,195,142,66,14,5.6,,204,49.6,124,19.44,80,86,,640,380,18,2.24,1.1,0.5,,1.93,,,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",,0.3,7.78,1498,8,14.07,,33,430,9.3,,,,30,5,220,214,103,12.88,6.72,,240,60,150,21.87,90,124,,898,540,26,3.18,0.16,0.5,,1.91,,,,
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",,0.3,7.76,1370,10,12.55,,46,540,9.3,,,,32,5,220,216,111,16.8,4.48,,313,69.6,174,33.78,139,136,,820,500,25,3.24,1.22,0.5,,1.72,,,,
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",,0.3,7.86,1422,10,12.99,,21,350,6.8,,,,24,5,250,179,111,15.68,8.4,,323,65.6,164,38.64,159,112,,852,510,18,2.14,0.98,0.5,,1.66,,,,
5036,Lakes  & Tanks,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",,1.7,7.85,684,5.8,5.16,,14,280,2,,,,26,5,180,78,64,5.6,1.68,,190,42,105,20.66,85,31,,410,250,22,2.32,1.12,0.5,,1.12,,,,
5037,Lakes  & Tanks,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5042,Lakes  & Tanks,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",,0.3,7.73,1285,10,17.83,,39,540,9.2,,,,28,5,190,181,115,11.76,5.6,,244,56,140,25.27,104,112,,772,460,23,2.19,0.92,0.5,,1,,,,
5043,Lakes  & Tanks,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",,0.3,7.92,1364,6.2,12.91,,33,350,6.8,,,,32,5,235,176,67,14,6.72,,254,65.6,164,21.87,90,109,,818,490,27,3.12,1.14,0.5,,1.42,,,,
5045,Lakes  & Tanks,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",,0.3,7.64,1133,8,16.51,,24,350,6.1,,,,35,5,180,150,99,11.2,3.36,,194,43.6,109,20.66,85,91,,680,400,28,1.86,0.89,0.5,,1.78,,,,
5046,Lakes  & Tanks,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",,3.5,7.66,760,3,3.11,,24,350,2,,,,22,5,65,160,59,7.28,2.24,,85,22,55,7.29,30,67,,456,280,17,1.9,1.12,0.5,,1.03,,,,
5047,Lakes  & Tanks,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",,3.7,7.96,1113,4,6.24,,33,430,6.8,,,,26,5,150,168,67,16.8,6.72,,185,41.6,104,19.68,81,102,,668,400,21,1.44,1.16,0.5,,1.02,,,,
5048,Lakes  & Tanks,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",,1,7.92,1266,6,5.8,,46,540,9.3,,,,32,5,170,190,75,14,5.6,,254,63.6,159,23.09,95,130,,760,450,27,1.09,0.76,0.5,,0.66,,,,
5049,Lakes  & Tanks,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes  & Tanks,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",,2.5,7.51,1317,3.8,8.06,,24,350,6.8,,,,20,5,180,196,62,13.44,3.36,,289,69.6,174,27.95,115,130,,790,470,19,2.1,1.32,0.5,,0.37,,,,
5051,Lakes  & Tanks,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",,0.3,7.8,1220,8,5.74,,39,430,6.1,,,,25,5,215,159,110,11.2,4.48,,254,60,150,25.27,104,108,,732,440,20,2.14,1.18,0.5,,0.2,,,,
5111,Lakes  & Tanks,"Nagireddy Kunta (Yapral Cheruvu), Yapral",,4.2,7.78,1622,4,10.81,,47,540,9.2,,,,26,5,220,220,56,18.48,6.16,,408,85.6,214,47.14,194,178,,970,580,23,1.92,0.76,0.5,,0.82,,,,
