Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,"River Godavari at Basara (V & M), Nirmal District",Nirmal,7.2,7.55,770,2.4,16,0.07,5.5,21,4,,,,3.4,25,135,129,28,24,BDL,BDL,295,205,82,90,22,75,25,477.4,338.95,6,,0.07,0.5,2,0.26,18.37,0.53
5105,River Godavari,"River Godavari Pushkar Ghat , Mancherial (V&M), Mancherial (D)",Mancherial,6.4,8.03,757,3.1,12,0.07,6,25,3.7,,,,4.3,15,150,144,32,18,BDL,BDL,290,160,64,130,32,65,28,469.34,333.23,8,,0.08,0.5,1.5,0.29,22.71,0.67
4255,River Godavari,"River Godavari- Ali sagar Reservior Ali Sagar, Thanakalan (V), Yedapally (M), Nizamabad (D)",Nizamabad,7.4,7.58,740,3,12,0.06,4,27,Less than 1.8,,,,3.3,25,145,120,38,18,BDL,BDL,235,135,54,100,24,36,26,458.8,325.75,7,,0.11,0.5,3.5,0.25,23.87,0.67
4227,River Godavari,"River Godavari- Pochera Water Falls, Pochera (V), Boath (M), Adilabad (D)",Adilabad,7.3,7.3,782,4,15,0.12,6,25,2,,,,4.3,15,175,125,44,30,BDL,BDL,300,170,68,130,32,65,19,484.84,344.24,9,,0.32,0.5,4,0.32,15.36,0.44
2361,River Godavari,"River Godavari-River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu, Mancherial (D)",Mancherial,5,8.05,493,2.3,1.8,,Less than 1.8,38,Less than 1.8,,,,3.2,5,120,52,36,1.5,0.4,0.03,140,85,34,55,13.37,38,,302,,6,0.2,,0.5,,0.48,,
13,River Godavari,"River Godavari at Mancherial (V&M), Mancherial(D)",Mancherial,5,7.83,499,1.4,1.9,,Less than 1.8,38,Less than 1.8,,,,2.8,5,125,50,24,1.5,0.4,0.01,125,70,28,55,13.37,34,,310,,6,0.2,,0.5,,0.42,,
3054,River Godavari,"River Godavari - Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,2.2,8.47,964,3.6,3.8,,Less than 1.8,49,Less than 1.8,,,,2.2,20,224,119,59,5.6,0.82,0.12,245,130,52,115,27.95,72,,598,,5,0.97,,0.5,,0.68,,
2362,River Godavari,"River Godavari-D/s at Ramagundam near FCI intake well, Peddapalli",Peddapalli,4.8,8.09,521,2.8,2.2,,Less than 1.8,38,Less than 1.8,,,,3.8,5,125,58,32,1.5,0.4,0.03,130,70,28,60,14.58,36,,312,,8,0.2,,0.5,,0.47,,
2363,River Godavari,"River Godavari at Godavarikhani near bathing ghat , Peddapalli",Peddapalli,5,7.91,502,1.9,2.1,,Less than 1.8,32,Less than 1.8,,,,2.6,5,115,62,24,1.5,0.4,0.02,120,75,30,45,10.94,34,,310,,4,0.2,,0.5,,0.53,,
2364,River Godavari,"River Godavari at Ramagundam upstream near dam, Peddapalli",Peddapalli,5.2,7.76,499,1.8,2,,Less than 1.8,31,Less than 1.8,,,,2.7,5,120,60,32,1.5,0.4,0.01,125,80,32,45,10.94,34,,300,,5,0.2,,0.5,,0.51,,
2356,River Godavari,"River Godavari D/s of Ramagundam at Manthani, Peddapalli",Peddapalli,5,7.93,474,2.1,2.4,,Less than 1.8,26,Less than 1.8,,,,3.3,5,120,57,36,1.5,0.4,0.02,122,80,32,42,10.21,24,,284,,7,0.2,,0.5,,0.49,,
4662,River Godavari,"River Godavari at Kaleshwaram, 500 mts. before bathing ghat, Kaleshwaram (V), Mahadevpur (M),Jayashankar Bhupalapally",Jayashankar Bhoopalpalli,5.6,8.38,444,1.2,2.4,,Less than 1.8,21,Less than 1.8,,,,3,25,95,72,16,1.5,0.4,0.05,105,50,20,55,13.37,48,,266,,5,0.2,,0.5,,0.53,,
2365,River Godavari,"River Godavari - U/s at Kamalapur ,at M/s.AP Rayons Ltd., intake well , Kamalapur (V), Mangapet (M), Mulugu (D)",Mulugu,5.4,8.02,381,1.6,1.5,,Less than 1.8,27,Less than 1.8,,,,3.2,5,110,36,24,1.5,0.4,0.02,120,50,20,70,17.01,18,,232,,6,0.2,,0.5,,0.38,,
2366,River Godavari,"River Godavari - D/s at Kamalapur ,at M/s.AP Rayons Ltd., Discharge point , Mangapet (V&M), Mulugu (D)",Mulugu,5.4,8,369,1.6,1.4,,Less than 1.8,24,Less than 1.8,,,,3.4,5,120,28,24,1.5,0.4,0.02,130,75,30,55,13.37,14,,226,,4,0.2,,0.5,,0.41,,
2367,River Godavari,"River Godavari - U/s at Bhadrachalam bathing ghat, Bhadradri Kothagudem",Bhadradri Kothagudem ,5.4,8.04,420,1.6,2,,Less than 1.8,24,Less than 1.8,,,,7.8,5,85,56,32,1.5,0.4,0.03,95,55,22,40,9.72,34,,256,,16,0.2,,0.5,,0.59,,
2368,River Godavari,"River Godavari - D/s at Bhadrachalam bathing ghat , Bhadradri kothagudem",Bhadradri Kothagudem ,5.1,7.82,471,1.6,2.2,,Less than 1.8,41,Less than 1.8,,,,8.2,5,105,59,36,1.5,0.4,0.02,110,60,24,50,12.15,28,,288,,22,0.2,,0.5,,0.67,,
2369,River Godavari,"River Godavari at Burgampahad , Bhadradri Kothagudem",Bhadradri Kothagudem ,5.1,7.99,687,1.6,2.4,,Less than 1.8,32,Less than 1.8,,,,11.6,5,155,74,24,1.5,0.4,0.02,160,85,34,75,18.22,52,,412,,20,0.39,,0.5,,0.63,,
4256,River Maneru / Manair,"River Maneru (tributary of Godavari) - Lower Dam,Maneru, Karimnagar",Karimnagar,5.2,7.94,449,1.6,2.1,,Less than 1.8,46,Less than 1.8,,,,3.2,5,105,54,24,1.5,0.4,0.02,110,60,24,50,12.15,26,,278,,6,0.2,,0.5,,0.56,,
4257,River Maneru / Manair,"River Maneru (tributary of Godavari) - at D/S of municipal dump site, Karimnagar",Karimnagar,0.8,8.4,1745,5.8,4.8,,17,170,3.6,,,,2.8,25,320,286,87,8.4,1.87,0.25,445,265,106,180,43.74,162,,1064,,8,1.35,,0.5,,0.99,,
4664,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Ghattepalli (V) near Sulthanabad, Karimnagar",Karimnagar,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,"River Maneru (tributary of Godavari) - Outlet of KTPP Ash pond joining to morancha vagu, Chelpur (V), Ghanpur (Mulugu) (M), , Jayashankar bhupalapalli District",Bhadradri Kothagudem ,5,7.96,758,1.8,3.4,,Less than 1.8,27,0.8,,,,4,5,155,92,28,1.5,0.4,0.02,165,90,36,75,18.22,58,,454,,6,0.2,,0.5,,0.58,,
1158,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Somanpally , Peddapalli",Peddapalli,4.8,7.69,543,2,2.5,,Less than 1.8,47,Less than 1.8,,,,3.3,5,130,62,24,1.5,0.4,0.01,135,65,26,70,17.01,32,,332,,7,0.2,,0.5,,0.43,,
4258,River Manjeera,"River Manjeera (tributary of Godavari) - Singoor Dam Reservoir,Singure (V), Pulkal (M), Sangareddy District",Sangareddy,7.4,7.42,624,3.5,12,0.05,3.6,21,Less than 1.8,,,,4.3,24,155,81,42,20,BDL,BDL,200,140,56,60,15,30,16,386.88,274.68,9,,0.07,0.5,3.5,0.32,16.68,0.41
1157,River Manjeera,"River Manjeera (tributary of Godavari) - at Raipally, Sangareedy",Sangareddy,6.7,8.03,662,2.2,11,0.04,4.5,34,3.6,,,,3.5,12,135,96,24,17,BDL,BDL,230,135,54,95,23,52,14,410.44,291.41,6,,0.06,0.5,3,0.36,14.68,0.36
1781,River Manjeera,"River Manjeera (tributary of Godavari) - at Ganapathi sugars, Sangareddy",Sangareddy,6.6,7.72,689,2.5,10,0.05,8.2,46,3.7,,,,3.7,20,155,77,28,16,BDL,BDL,210,130,52,80,19,59,15,427.18,303.3,9,,0.11,0.5,2,0.39,16.7,0.4
2374,River Manjeera,"River Manjeera (tributary of Godavari) - U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu, Sangaredy",Sangareddy,6.9,7.63,998,3,11,0.04,8.1,33,5.6,,,,3.9,28,180,163,32,20,BDL,BDL,385,220,88,165,40,95,23,618.76,439.32,8,,0.13,0.5,4,0.3,14.8,0.47
2375,River Manjeera,"River Manjeera (tributary of Godavari) - D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu, Sangareddy",Sangareddy,7,7.45,1426,3.8,14,0.13,6.1,38,4,,,,3.3,12,250,206,42,28,BDL,BDL,505,270,108,235,57,96,30,884.12,627.73,9,,0.08,0.5,3.5,0.86,15.43,0.55
2349,River Manjeera,"River Manjeera (tributary of Godavari) - Nakka vagu at Bachugudem, Sangareedy",Sangareddy,4.8,6.92,1396,4.4,21,0.14,8.3,94,7.8,,,,4.8,32,225,182,54,32,BDL,BDL,400,235,94,165,40,97,44,865.52,614.52,10,,0.12,0.5,3.9,0.13,24.03,0.87
4226,River Manjeera,"River Manjeera (tributary of Godavari) - River Manjeera at Yedu Payala Temple, Nagsampalli (V), Papannapet (M), Medak District",Medak,7.1,8.16,912,2.5,12,0.13,4.5,79,1.8,,,,3.3,16,170,96,30,18,BDL,BDL,240,160,64,80,19,59,25,565.44,401.46,7,,0.15,0.5,2.5,0.41,21.82,0.6
2372,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - Kinnerasani after confluence of KTPS ash pond effluents ,Bhadradri Kothagudem",Bhadradri Kothagudem ,5,8.1,525,1.4,2.2,,Less than 1.8,31,Less than 1.8,,,,8.2,5,110,68,28,1.5,0.4,0.03,125,70,28,55,13.37,34,,326,,17,0.2,,0.5,,0.59,,
3080,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - U/s of Karakavagu at Paloncha , Bhadradri Kothagudem",Bhadradri Kothagudem ,4.8,8.34,645,1.2,2.4,,Less than 1.8,31,Less than 1.8,,,,7.2,20,155,80,28,1.5,0.4,0.04,160,80,32,80,19.44,58,,380,,10,0.2,,0.5,,0.65,,
3081,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - D/s of Karakavagu at Paloncha, Bhadradri Kothagudem",Bhadradri Kothagudem ,4.6,8.2,482,1.6,2.2,,Less than 1.8,21,Less than 1.8,,,,8.6,15,112,66,32,1.5,0.4,0.03,98,60,24,38,9.23,38,,284,,14,0.2,,0.5,,0.68,,
1784,River Krishna ,"River Krishna at Thangadi, Thangadi(V), Krishna(M), Narayanapet(D)",Mahaboobnagar,5.1,8.33,1293,1.9,3.4,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,3.6,35,295,175,27,4.2,0.84,0.09,310,165,66,145,35.23,98,,814,,7,0.28,,0.5,,0.49,,
0039,River Krishna ,"River Krishna at Gadwal bridge,Nadhi Agraharam, Gadwal(Munci.), Jogulamba Gadwal(D)",Mahaboobnagar,5,8.38,1792,2.1,5.4,,Less than 1.8,70,Less than 1.8,N.A,N.A,N.A,5.6,35,440,198,39,1.5,0.4,0.05,465,245,98,220,53.46,142,,1128,,11,0.32,,0.5,,0.38,,
4225,River Krishna ,"River Krishna at Jogulamba Temple, Alampur(V&M), Jogulamba Gadwal(D)",Jogulamba Gadwal,4.9,8.36,1314,2.3,3.4,,Less than 1.8,63,Less than 1.8,N.A,N.A,N.A,4.2,30,295,179,47,4.2,0.64,0.09,315,165,66,150,36.45,110,,802,,8,0.45,,0.5,,0.53,,
4259,River Krishna ,"River Krishna - Nagarjuna Sagar Dam Spill way, Nagarjuna Sagar (V), Peddavoora (M),Nalgonda",Nalgonda,6.6,8.09,776,2.6,16,0.12,4.5,26,3.7,,,,3.2,20,165,86,32,24,BDL,BDL,240,140,56,100,24,77,21,481.12,341.6,8,,0.17,0.5,3.6,0.33,19.73,0.53
4252,River Krishna ,"River Krishna - Udaya Samudram balancing Reservoir, Nalgonda",Nalgonda,6.3,7.38,783,2.5,12,0.13,8.1,41,3.7,,,,3.5,12,165,125,32,20,BDL,BDL,270,140,56,130,32,56,29,485.46,344.68,6,,0.16,0.5,2.6,0.36,24.74,0.74
1465,River Krishna ,"River Krishna - Confluence of River Krishna & River Musi at Wadapally (V), Damarcharla (M), Nalgonda District",Nalgonda,7.2,8.12,1090,3.4,18,0.23,9.2,32,5.6,,,,3.9,16,215,125,34,30,BDL,BDL,330,225,90,105,26,79,27,675.8,479.82,5,,0.08,0.5,3.5,0.45,17.7,0.54
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat, Suryapet",Suryapet,6.9,7.33,1080,3.6,22,0.18,6.8,43,4.5,,,,4.2,12,185,96,40,36,BDL,BDL,285,185,74,100,24,80,21,669.6,475.42,8,,0.09,0.5,2.6,0.43,16.77,0.47
4250,River Krishna ,"River Krishna - Palair Reservoir, Palair(V), Kusumanchi(M),Khammam(D)",Khammam,4.6,8.2,592,2,2.8,,Less than 1.8,38,Less than 1.8,,,,7.6,10,120,78,36,1.5,0.4,0.04,135,65,26,70,17.01,49,,362,,18,0.2,,0.5,,0.59,,
4251,River Krishna ,"River Krishna - D/s of Munneru River, Prakash Nagar, Khammam",Khammam,4.6,7.97,773,2,3.4,,Less than 1.8,49,Less than 1.8,,,,7.2,5,170,98,28,1.5,0.4,0.02,185,100,40,85,20.66,48,,486,,12,0.36,,0.5,,0.67,,
5108,River Krishna ,"River Krishna before confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda (D)",Nalgonda,7.6,7.75,1196,3.1,17,0.12,6.1,40,4,,,,3.1,24,215,148,28,28,BDL,BDL,380,235,94,145,35,112,30,741.52,526.48,5,,0.07,0.5,3.8,0.22,18.08,0.59
5109,River Krishna ,"River Krishna after confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6.9,8.02,926,3,16,0.15,5.6,39,3.6,,,,3.5,20,185,129,32,24,BDL,BDL,315,175,70,140,33,84,29,574.12,407.63,8,,0.08,0.5,4.1,0.74,21.2,0.66
5110,River Krishna ,"River Krishna at Pulichintala Reservoir at Chinthalapalem (V&M), Suryapet (D)",Suryapet,6.7,6.99,1078,2.4,12,0.16,4.5,41,2,,,,3.3,24,235,134,30,21,BDL,BDL,330,185,74,145,35,75,29,668.36,474.54,6,,0.11,0.5,4.2,0.33,20.32,0.64
4253,River Musi,"River Musi at Bapughat Sangam, Hyderabad",Hyderabad,0.3,7.31,1507,8,5.4,,14,540,8.1,,,,12.8,5,360,175,105,9.8,3.02,0.04,350,185,74,165,40.09,110,,920,,38,2.89,,0.5,,0.92,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.56,1379,14,4.8,,15,540,4,N.A,N.A,N.A,13.7,5,280,168,150,8.4,2.24,0.05,320,175,70,145,35.23,102,,842,,47,2.93,,0.62,,0.99,,
2339,River Musi,"River Musi at Nagole, Ranga Reddy",Shamshabad,0.3,7.76,1619,8,5.2,,17,540,6.1,,,,11.6,5,355,182,109,11.2,3.28,0.12,415,215,86,200,48.6,108,,1018,,34,2.85,,0.64,,0.87,,
4659,River Musi,"River Musi - Outlet of Nalla Cheruvu, Peerajadiguda, Rangareddy",Yadadri Bhuvanagiri,0.3,7.1,1450,7.6,4.7,,27,920,17,,,,16.8,5,285,184,97,14,5.08,0.04,350,175,70,175,42.52,102,,884,,42,2.93,,0.5,,0.97,,
