Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3069,Lakes and Tanks,"Shameerpet lake, Shameerpet",4,7.66,496,3,0.9,,NIL,12,,,8.06,0,130,63,42,BDL,,135,32,13.37,20,48,294,238,18,0.15,Less than 0.1,3,0.85,42.79,1.79
3073,Lakes and Tanks,"Hasmathpet lake, Hasmathpet",Less than  0.06,8.01,1558,16,15.6,,8,380,,,,0,460,193,178,2.4,,565,98,78,18,89,928,745,42,4.68,0.4,1.85,1.06,25.26,1.62
3070,Lakes and Tanks,"Fox sagar, Jeedimetla",3.1,7.27,1087,10,1.56,,NIL,380,,,18.03,0,360,110,73,1.4,,375,82,41.31,40,86,640,515,7,0.84,Less than 0.1,4,1.2,32.84,1.93
3072,Lakes and Tanks,Safilguda lake,Less than  0.06,7.81,1669,14,6.4,,NIL,620,,,24.6,0,415,213,123,1.4,,420,88,48.6,91,180,1010,812,10,2.52,Less than 0.1,12,2.4,47.19,3.81
2343,Lakes and Tanks,Premajipet tank,1.1,7.36,3650,16,4.88,,35,580,,,27.6,0,685,662,192,3,,1110,240,123.93,200,330,2210,1765,14,4.6,Less than 0.1,12,2.58,38.8,4.29
2358,Lakes and Tanks,Mallapur tank,Less than  0.06,7.32,1881,25,12,,75,540,,,29.1,0,485,190,249,6,,595,158,48.6,140,140,1090,875,150,9.52,Less than 0.1,19,2.79,32.86,2.49
2345,Cheruvus,Sai Cheruvu,1.5,7.42,17160,135,20,,0,480,,,,0,200,5250,540,0,,1150,108,94.77,168,3450,10640,8515,72,1.76,0.56,16,1.5,91.63,58.17
3075,Cheruvus,Rangadhamuni cheruvu,Less than  0.06,7.64,1556,16,21.08,,14,520,,,16.4,0,430,182,157,3,,375,106,26.73,70,176,954,765,36,8.9,Less than 0.1,17,1.97,49.0,3.94
3076,Cheruvus,"Amber cheruvu, Kukatpally",1.6,7.93,1545,12,9.2,,NIL,480,,,,0,390,212,116,3.6,,380,64,53,61,180,906,725,24,4.86,0.36,1.95,1.08,50.51,4.01
3077,Cheruvus,"Kapra cheruvu, Kapra",3.3,7.5,1392,7,7.18,,10,280,,,20.9,0,360,160,84,4,,480,150,25.52,98,95,860,684,9,2.37,Less than 0.1,13,2.2,29.31,1.88
3078,Cheruvus,"Pragathinagar cheruvu, Kukatpally",1.3,7.51,1590,14,7.05,,20,360,,,30.2,0,380,188,172,4,,440,94,49.81,115,150,920,735,62,6.11,Less than 0.1,14,1.57,41.46,3.1
2344,Cheruvus,Nalla cheruvu,Less than  0.06,7.87,1612,20,6.8,,36,440,,,,0,450,205,185,6,,620,106,86.27,91,99,960,765,30,3.2,0.36,1.96,1.9,25.56,1.72
2357,Cheruvus,Durgam cheruvu,2.1,8.05,1039,6,0.49,,NIL,360,,,,0,290,120,54,0,,380,72,49,88,86,616,495,24,1.2,0.26,1.1,0.95,32.65,1.91
2359,Cheruvus,Pedda cheruvu,Less than  0.06,7.66,1530,24,1.1,,NIL,450,,,,0,380,195,212,3.6,,545,110,66,62,87,920,739,20,4.68,1.21,1.4,1.47,25.53,1.61
2340,Cheruvus,Lakshminarayana cheruvu,4.2,7.65,1394,9,2.18,,NIL,260,,,24.6,0,255,243,82,1.4,,335,64,42.52,71,150,851,684,19,0.61,Less than 0.1,14,1.64,47.87,3.55
