Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.4,7.48,519,2.1,6,0.11,2,21,1.8,,,,11,20,144,54,22,5,0.1,Less than 0.01,172.25,36,20,7,14,293,204,5,,0.1,0.1,3,0.1,14.66,0.46
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.1,7.45,484,2.1,5,0.1,Less than 1.8,20,Less than  1.8,,,,8,16,138,48,24,5,0.1,Less than 0.01,160,34,18,6,13,287,198,7,,0.1,0.1,3,0.1,14.71,0.45
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.2,7.41,566,2.1,7,0.1,3.6,26,2,,,,9,16,158,58,16,5,0.1,Less than 0.01,186,38,22,6,15,314,218,6,,0.11,0.1,4,0.11,14.53,0.48
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,6.03,7.64,458,4,2,,Less than 1.8,20,Less than 1.8,,,,5,5,120,36,36,5,0.1,Less than 0.01,164,27.2,23.33,40,23,278,,6,0.22,,0.1,2,0.1,22.96,0.78
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.94,7.72,478,2.1,2,,Less than 1.8,17,Less than 1.8,,,,5,5,145,34,15,5,0.1,Less than 0.01,164,38.4,16.52,28,26,300,,8,0.16,,0.1,2,0.1,25.24,0.88
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,4.2,10.87,1106,4,2,,Less than 1.8,17,Less than 1.8,,,,5,26,222,122,44,5,0.1,Less than 0.01,334,88,12.15,110,106,722,,12,0.2,,0.1,8,0.1,45.07,2.8
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5.9,7.89,412,3,5,,Less than 1.8,22,Less than 1.8,,,,6,5,116,36,35,5,0.1,Less than 0.01,154,26.4,21.38,30,20,262,,10,0.19,,0.1,1.6,0.1,21.67,0.7
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,4.9,7.57,444,2.1,2,,Less than 1.8,11,Less than 1.8,,,,6,5,110,36,26,5,0.1,Less than 0.01,156,27.2,21.38,42,22,269,,18,0.14,,0.1,3,0.1,22.91,0.76
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,6,7.52,442,2.1,3,,Less than 1.8,8,Less than 1.8,,,,5,5,112,38,24,5,0.1,Less than 0.01,154,24.8,22.36,32,20,288,,24,0.2,,0.1,3,0.1,21.47,0.7
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.1,7.76,470,2.1,2,,Less than 1.8,11,Less than 1.8,,,,6,5,146,29,23,5,0.1,Less than 0.01,158,35.2,17.01,24,24,295,,5,0.18,,0.1,3,0.1,24.28,0.83
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,6.1,7.3,398,2.1,0.9,,Less than 1.8,17,Less than 1.8,,,,5,5,140,22,23,5,0.1,Less than 0.01,144,34.4,14.09,12,18,244,,6,0.16,,0.1,3,0.29,20.85,0.65
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,6,7.3,372,2.1,0.44,,Less than 1.8,11,Less than 1.8,,,,5,6,122,28,24,5,0.1,Less than 0.01,130,27.2,15.07,10,20,240,,5,0.13,,0.1,1,0.3,24.77,0.76
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,6,7.2,344,2.1,0.79,,Less than 1.8,17,Less than 1.8,,,,5,5,128,20,22,5,0.1,Less than 0.01,132,30.4,13.61,13,18,222,,8,0.28,,0.1,2,0.32,22.44,0.68
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.8,7.87,349,3,6,,Less than 1.8,10,Less than 1.8,,,,12,5,86,32,32,5,0.1,Less than 0.01,120,26,13.37,28,20,232,,18,0.1,,0.1,1,0.11,26.28,0.79
