Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,0.3,7.22,1603,6,7.4,N.A,27,430,6.8,,,,12,5,475,169,51,5.6,1.66,0.02,490,308,123.2,182,44.23,62,,1024,,28,2.42,N.A,0.5,,0.97,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.15
4677,Lakes  & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,0.3,7.69,1874,10,14.6,N.A,58,540,4,,,,24,5,425,262,102,7.62,2.48,0.09,435,278,111.2,157,38.15,108,,1144,,34,3.46,N.A,0.5,,0.98,,,,0.02,0.03,0.1,0.06,0.1,0.02,0.06
4678,Lakes  & Tanks,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,0.3,7.52,1374,10,6.42,N.A,27,540,11,,,,26,5,335,144,127,5.6,1.94,0.05,346,214,85.6,132,32.08,74,,866,,86,1.2,N.A,0.5,,0.88,,,,0.02,0.03,0.1,0.06,0.1,0.08,0.32
4679,Lakes  & Tanks,HUDA Park Lake,Rangareddy,0.3,8.17,2021,6,8.8,N.A,33,540,10,,,,11,5,560,274,87,7.84,2.62,0.25,572,360,144,212,51.52,168,,1292,,18,2.94,N.A,0.5,,0.98,,,,0.02,0.03,0.1,0.06,0.1,0.15,0.79
4683,Lakes  & Tanks,"Pedda cheruvu, Madikonda",Warangal,0.3,7.72,935,6.1,9.82,N.A,21,430,4,,,,6,5,240,125,44,2.24,0.4,0.01,255,163,65.2,92,22.36,78,,588,,18,0.46,N.A,0.5,,0.72,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.14
4684,Lakes  & Tanks,Campus Lake Icrisat,Sangareddy,6.1,7.85,767,2,6,0.15,14,140,8.3,7.5,0.71,,16,24,168,74,21,3.9,0.4,0.01,236,115,46,123.46,30,19,23,432,312,11,,0.13,0.5,5,0.41,17.02,0.65,0.01,0.02,0.03,0.1,0.06,0.1,0.01,0.12
4685,Lakes  & Tanks,Surisigal Lake Icrisat,Sangareddy,6,8.14,1113,2.6,5,0.14,13,150,6.8,7.2,0.68,,19,20,170,92,25,4.5,0.4,0.01,250.14,135,54,115.23,28,16,28,630,456,15,,0.11,0.5,6,0.28,19.16,0.77,0.01,0.02,0.03,0.1,0.06,0.1,0.04,0.06
4686,Lakes  & Tanks,Icrisat Lake,Sangareddy,6.2,7.92,960,3,4,0.17,22,220,14,6.6,0.65,,21,28,172,98,34,6.7,0.4,0.01,264,140,56,123.46,30,14,27,542,390,17,,0.14,0.5,4,0.36,18.0,0.72,0.01,0.02,0.03,0.1,0.06,0.1,0.01,0.18
4687,Lakes  & Tanks,Red Lake Icrisat,Sangareddy,6.1,8.08,1081,3.2,7,0.18,27,350,15,5.8,0.62,,11,36,224,122,47,9,0.4,0.01,330,175,70,156.38,38,15,37,610,442,13,,0.16,0.5,5,0.43,19.3,0.89,0.01,0.02,0.03,0.1,0.06,0.1,0.04,0.06
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille hills",Hyderabad,3.8,7.32,683,2,1.7,N.A,17,350,Less than 1.8,,,,40,5,180,103,32,2.24,0.4,0.01,190,110,44,80.0,19.44,62,,424,,108,1.34,N.A,0.5,,0.42,,,,0.02,0.03,0.1,0.06,0.1,0.08,0.71
