Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.6,7.31,680,2.1,6,0.1,5.6,17,3.7,,,,6,5,148,92,12,5,0.1,0.01,232,44.85,29.14,9,26,382,287,9,,0.1,0.1,3,0.22,19.23,0.74
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.5,7.34,337,2.1,5,0.12,4,14,3.6,,,,7,8,72,48,13,5,0.1,0.01,100,20.82,11.66,5,11,190,130,7,,0.1,0.1,3,0.24,18.63,0.48
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.5,7.02,687,2.1,6,0.1,2,17,1.8,,,,9,8,150,106,14,5,0.1,0.01,252,49.66,31.08,14,29,394,296,6,,0.1,0.1,3,0.41,19.67,0.79
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,5.8,8,394,2.1,1,,Less than 1.8,37,Less than 1.8,,,,7,5,105,34,10,5,0.1,0.01,122,30,11.42,18,,240,,18,0.1,,0.1,,0.1,,
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.8,7.9,396,2.1,0.6,,Less than 1.8,31,Less than 1.8,,,,5.6,5,110,26,10,5,0.1,0.01,126,28,13.61,14,,240,,18,0.1,,0.1,,0.1,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,4,10.9,1183,2.2,0.07,,Less than 1.8,40,Less than 1.8,,,,4,40,340,114,28,5,0.1,0.01,364,73.6,43.74,88,,744,,5,0.24,,0.1,,0.1,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5,7.1,410,2.1,0.4,,Less than 1.8,33,Less than 1.8,,,,10.8,5,105,32,14,5,0.1,0.01,121,30.4,10.94,16,,263,,13,0.1,,0.1,,0.1,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5,7.2,406,2.2,0.6,,Less than 1.8,38,Less than 1.8,,,,7.4,5,110,29,20,5,0.1,0.01,127,29.6,12.88,19,,250,,24,0.1,,0.1,,0.1,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.5,7.9,390,2.1,0.4,,Less than 1.8,21,Less than 1.8,,,,7.2,5,105,27,15,5,0.1,0.01,122,28.8,12.15,17,,240,,19,0.1,,0.1,,0.1,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.2,8,406,2.1,0.4,,Less than 1.8,27,Less than 1.8,,,,5.8,5,115,31,17,5,0.1,0.01,127,30,12.64,18,,240,,14,0.1,,0.1,,0.1,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,5.6,7.4,443,2.1,0.56,,6,210,4,,,,10.8,8,125,44,10,5,0.1,0.01,138,24.8,18.47,24,,284,,16,0.1,,0.1,,0.29,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,6,7.6,373,2.1,0.18,,Less than 1.8,27,Less than 1.8,,,,9.8,5,95,32,10,5,0.1,0.01,104,24,10.69,18,,210,,22,0.1,,0.1,,0.11,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,5.9,7.44,376,2.2,0.2,,Less than 1.8,33,Less than 1.8,,,,10.2,5,100,22,10,5,0.1,0.01,112,25.6,11.66,13,,220,,26,0.1,,0.1,,0.11,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.4,7.2,340,2.2,0.14,,Less than 1.8,43,Less than 1.8,,,,12.4,5,85,24,10,5,0.1,0.01,98,20.8,11.18,16,,210,,28,0.1,,0.1,,0.1,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.4,7.1,336,2.2,0.18,,2,70,Less than 1.8,,,,12,5,95,24,10,5,0.1,0.01,106,23.2,11.66,15,,214,,14,0.1,,0.1,,0.1,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,5,7.2,391,2.2,0.06,,Less than 1.8,33,Less than 1.8,,,,14.4,5,115,27,10,5,0.1,0.01,124,29.6,12.15,18,,244,,24,0.1,,0.1,,0.1,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,5.8,7.5,376,2.1,0.42,,Less than 1.8,33,Less than 1.8,,,,4.8,5,95,32,10,5,0.1,0.01,110,27.2,10.21,11,,241,,5,0.1,,0.1,,0.1,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,2.1,7.6,1147,4.8,2,,8,94,Less than 1.8,,,,5,5,290,175,40,5.6,3.16,0.07,298,70,30,37,,662,,14,0.96,,0.1,,0.1,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,4.2,7.2,626,2.1,2.8,,8,110,Less than 1.8,,,,7.4,5,180,58,20,5,0.1,0.01,196,46.4,19.44,22,,380,,12,0.28,,0.1,,0.42,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,Warangal,4,8,890,2.1,1.8,,4,94,Less than 1.8,,,,20,5,210,78,16,5,0.1,0.01,235,61,20,47,,503,,8,0.5,,0.1,,0.76,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,5.8,7.5,520,2.1,1.8,,2,63,Less than 1.8,,,,8.6,5,145,51,10,5,0.1,0.01,162,40,15.07,32,,320,,9,0.12,,0.1,,0.28,,
