Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.4,7.46,417,2.1,2,0.11,Less than 2,15,9,12,68,70,15,2.7,Less than 1,Less than 0.01,124,26,14,5,17,237,165,5,,0.18,Less than 0.01,1,0.06,22.87,0.67
4255,River Godavari,Ali sagar Reservoir,7.2,7.37,356,2.1,2,0.14,Less than 2,10,8,8,64,42,18,3.2,Less than 1,Less than 0.01,82.01,18,9,4,15,202,141,8,,0.16,Less than 0.01,2,0.02,27.71,0.72
4227,River Godavari,"Pochara Water Falls, Adilabad",7.6,7.18,361,2.1,2,0.19,Less than 2,12,6,8,72,58,12,1.7,Less than 1,Less than 0.01,102,24,12,4,16,206,143,9,,0.12,Less than 0.01,2,0.03,23.61,0.66
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.4,8.14,578,2.1,0.81,,Less than 2,120,8,Less than 1,140,74,14,Less than 1,Less than 1,Less than 0.01,160,34,18.22,66,54,380,,18,0.02,,Less than 0.01,5,0.02,41.23,1.85
13,River Godavari,River Godavari at Mancherial,5.8,8.09,578,2.1,0.59,,Less than 2,84,6,Less than 1,135,78,16,Less than 1,Less than 1,Less than 0.01,155,28,20.66,67,53,358,,24,0.01,,Less than 0.01,5,0.45,41.49,1.84
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",5.8,10.91,1102,2.3,0.59,,Less than 2,26,15,36,225,162,24,Less than 1,Less than 1,Less than 0.01,265,60,27.95,90,65,680,,22,1.08,,Less than 0.01,13,0.04,33.29,1.73
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.8,8.13,563,2.1,0.45,,Less than 2,79,10,Less than 1,145,84,28,Less than 1,Less than 1,Less than 0.01,180,38,20.66,73,44,354,,22,0.01,,Less than 0.01,5,0.03,33.78,1.42
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.9,7.96,542,2.1,0.41,,Less than 2,63,6,Less than 1,125,71,14,Less than 1,Less than 1,Less than 0.01,145,28,18.22,62,43,336,,18,0.02,,Less than 0.01,5,0.02,38.03,1.55
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.7,8.05,580,2.6,0.43,,Less than 2,63,5,Less than 1,130,88,18,Less than 1,Less than 1,Less than 0.01,150,24,21.87,30,53,352,,24,0.02,,Less than 0.01,5,0.02,42.24,1.87
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.9,8.12,680,2.3,0.49,,Less than 2,58,8,Less than 1,145,98,12,Less than 1,Less than 1,Less than 0.01,180,38,20.66,97,61,420,,22,0.01,,Less than 0.01,5,0.23,41.43,1.97
4662,River Godavari,River godavari Kaleshwaram,6,7.9,310,2.1,1.04,,Less than 2,49,8,Less than 1,105,22,8,Less than 1,Less than 1,Less than 0.01,110,24,12.15,14,18,192,,20,0.97,,Less than 0.01,3,0.04,25.48,0.74
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.64,256,2.1,0.28,,Less than 2,23,3,5,60,28,7,Less than 1,Less than 1,Less than 0.01,65,12,8.5,12,14,162,,18,0.14,,Less than 0.01,4,0.3,30.13,0.75
