Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2349,River Manjeera,Nakka vagu at Bachugudem,1.9,7.11,1110,5,17,0.35,Less than 2,20,,,,16,32,224,196,38,5.2,3,0.02,322.78,60,42,47,63,750,629,37,Not analysed,0.29,Less than 0.01,15,0.36,28.46,1.52
4226,River Manjeera,River Manjeera at YeduPayala Temple,7.1,6.93,749,2,1,0.33,Less than 2,17,,,,9,12,84,56,14,4.6,2.8,0.01,114,26,12,18,23,426,308,14,Not analysed,0.26,Less than 0.01,2,0.16,29.84,0.93
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,5.6,8,490,3,1.2,Not Analysed,Less than 2,28,,,,8,Less than 1,170,38,16,Less than 1,Not Analysed,,180,36,21.87,14,26,288,Not aNot analysedlysed,10,0.21,Not analysed,Less than 0.01,3,0.58,23.41,0.84
3080,River Kinneresani,U/s of Karakavagu at Paloncha,5.6,7.32,460,3,0.98,Not Analysed,Less than 2,26,,,,6,Less than 1,160,40,10,Less than 1,Not Analysed,,180,32,24.3,21,26,276,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,24,0.8
3081,River Kinneresani,D/s of Karakavagu at Paloncha,5.4,7.45,522,4,2.2,Not Analysed,Less than 2,34,,,,10,Less than 1,180,48,12,Less than 1,Not Analysed,,205,42,24.3,24,30,336,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,23.8,0.91
1784,River Krishna ,River Krishna at Thangadi,6,7.85,620,3,0.6,Not Analysed,Less than 2,30,,,,6,Less than 1,188,66,10,Less than 1,Not Analysed,,240,56,24.3,21,28,360,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,19.98,0.78
39,River Krishna ,River Krishna at Gadwal bridge,6.1,7.98,560,3,0.44,Not Analysed,Less than 2,26,,,,6,Less than 1,166,56,10,Less than 1,Not Analysed,,205,48,20.66,26,30,320,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,23.82,0.91
4225,River Krishna ,"Jogulamba Temple, Gadwal",5.9,7.92,760,3,0.6,Not Analysed,Less than 2,24,,,,6,Less than 1,250,82,10,Less than 1,Not Analysed,,260,58,27.95,28,61,478,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,3,Less than 0.01,33.33,1.64
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,6.9,7.49,344,2,3,0.31,Less than 2,15,,,,4,4,31,28,8,1.51,0.95,0.02,54.67,12,6,4,7,193,145,9,Not analysed,0.23,Less than 0.01,2,0.39,20.91,0.41
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",7.3,7.17,750,2,7,0.29,Less than 2,21,,,,9,12,96,84,16,2.1,1.91,0.01,162.26,32,20,17,26,417,309,21,Not analysed,0.25,Less than 0.01,3,0.38,25.27,0.88
1465,River Krishna ,Confluence of River krishna & River musi at at wadapally,7.1,7.5,765,2,9,0.37,Less than 2,24,,,,12,16,121,104,12,2.27,1.43,0.02,205.2,36,28,23,31,449,318,10,Not analysed,0.27,Less than 0.01,5,0.43,24,0.9
4663,River Krishna ,River Krishna at Mattampally,6.8,7.47,761,2,8,0.25,Less than 2,15,,,,11,8,86,78,18,2,1.9,0.03,144.04,28,18,15,25,439,325,19,Not analysed,0.31,Less than 0.01,5,0.42,26.41,0.9
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,5.4,7.74,440,3,0.9,Not Analysed,Less than 2,26,,,,10,Less than 1,120,48,14,Less than 1,Not Analysed,,140,32.8,14.09,24,33,260,Not aNot analysedlysed,14,Less than 0.01,Not analysed,0,2,0.13,33.36,1.21
4250,River Krishna ,"Palair Reservoir, Khammam",5.8,7.77,372,3,0.94,Not Analysed,Less than 2,24,,,,6,Less than 1,115,38,12,Less than 1,Not Analysed,,130,26,15.79,22,26,238,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,4,Less than 0.01,29.37,0.99
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",5,7.68,521,4,2.42,Not Analysed,Less than 2,36,,,,14,Less than 1,150,58,26,Less than 1,Not Analysed,,170,34,20.66,30,42,332,Not aNot analysedlysed,10,0.12,Not analysed,Less than 0.01,4,0.62,34.13,1.4
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,NIL,7.43,1638,46,14,0.5,280,1600,,,,48,BDL,568,205,224,70,24,0.34,376,101,30,100,115,981,738,80,5,-,BDL,24,BDL,37.98,2.57
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Nil,7.2,1285,40,0.8,nil,540,Greater than 1600,,,,20,BDL,448,145,200,71,24,0.2,308,80,26,80,98,854,579,115,3,-,BDL,18,BDL,39.13,2.43
2339,River Musi,River Musi at Nagole,NIL,7.08,1312,30,8,BDL,350,Greater than 1600,,,,28,BDL,436,149,151,74,25,0.16,320,82,28,66,104,846,592,115,0.5,-,BDL,18,BDL,39.61,2.52
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",NIL,7.3,1577,29,4,BDL,280,1600,,,,10,BDL,920,166,131,64,22,0.23,448,96,51,15,110,1018,666,65,3,,BDL,19,BDL,35,2.2
4660,River Musi,River Musi at Peerajadiguda,NIL,7.23,1405,28,5,BDL,540,Greater than 1600,,,,30,BDL,476,158,139,80,27,0.24,340,82,33,55,109,809,532,92,4,-,0.03,19,BDL,39.24,2.56
1173,River Musi,D/s. of Musi at Pratapasingaram,NIL,7.37,1336,20,11,BDL,350,1600,,,,30,BDL,448,143,131,73,25,0.31,332,80,32,80,102,797,495,82,3.5,-,BDL,19,BDL,40,2.4
4657,River Musi,River Musi at Pillapalli,NIL,7.33,1427,22,16,0.85,350,920,,,,30,BDL,456,158,73,52,17,0.19,320,84,27,58,113,806,587,24,3,-,0.02,18,BDL,41.55,2.74
