Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",5.6,7.49,1680,4.1,19,0.31,3,170,,,,31,28,268,218,35,6.62,,,440.36,84,56,37,69,1037,743,30,,0.3,0.03,8,0.15,25,1.4,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.28
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",5.4,7.43,1861,3.8,16,0.29,4,110,,,,22,20,284,198,50,7.1,,,386,76,48,32,73,1082,765,25,,0.27,0.04,10,0.21,28,1.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.14
4244,Lakes & Tanks ,"Erdanoor Tank,",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,Lakes & Tanks ,"Mallepally Tank,",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",2.6,7.4,1010,14,1.35,,25,430,,,,2.78,Less than 1,241,131,80,1.1,Less than 1,Less than 0.01,440,88,55,22.4,86,520,,6,0.38,,Less than 0.01,3,0.25,29,1.8,,BDL,BDL,BDL,BDL,ND,0.12,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",2.4,7.24,1085,8,3.05,,20,250,,,,18,Less than 1,250,134,55,2.8,Less than 1,Less than 0.01,360,78,40,8.6,152,577,,5,2.71,,Less than 0.01,17,0.98,46,3.5,,BDL,BDL,BDL,BDL,BDL,BDL,
4229,Lakes & Tanks ,Neknampur Lake,4.2,7.6,1205,4,5,,13,84,,,,12,Less than 1,288,205,24,2,6,0.1,376,96,33,22,191,754,611,10,0.5,,Less than 0.01,6,0.87,52,4.3,,ND,0.03,0.17,0.04,ND,ND,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",4,7.73,1300,12,2.08,,11,140,,,,20,Less than 1,340,212,34,3.5,Less than 1,Less than 0.01,345,76,38,62,152,710,,5,,,0.25,12.5,0.81,48,3.5,,BDL,BDL,BDL,BDL,ND,0.12,
4661,Lakes & Tanks ,Peddakanjarla Tank,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",3.8,8.1,615,8,4,,32,350,,,,17,Less than 1,152,87,85,2.5,Less than 1,Less than 0.01,280,51,37,23,70,498,,5,1,,Less than 0.01,9,0.9,34,1.8,,ND,0.02,0.16,0.04,ND,ND,
4680,Lakes & Tanks ,Laknavaram lake,6.2,7.65,146,2.1,0.42,,Less than 2,94,,,,4.03,Less than 1,45,8,15,Less than 1,Less than 1,Less than 0.01,70,18,6,5.7,7.51,74,,6,0.04,,Less than 0.01,1.65,0.2,18,0.4,,BDL,BDL,BDL,BDL,BDL,ND,
4681,Lakes & Tanks ,Pakala lake Narsampet,5.9,7.96,175,2.1,0.06,,Less than 2,25,,,,2.84,NIL,80,13,16,Less than 1,Less than 1,Less than 0.01,90,22,9,5,8.45,97,,7,0.31,,Less than 0.01,1.78,0.65,16,0.4,,BDL,BDL,BDL,BDL,BDL,BDL,
4682,Lakes & Tanks ,Bandham Cheruvu,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
