Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron
4700,Lakes & Tanks ,"Large tank, Saroornagar, Rangareddy District.",2.5,7.51,1487,18,6,,94,540,,,,22,Less than 1,374,210,104,3.2,3,0.06,436,109,40,35,238,908,,28,Less than 0.1,,Less than 0.01,2.8,0.98,54,4.9,,,,,,,,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Less than 0.1,7.62,1285,16,12,,94,540,,,,20,Less than 1,392,190,101,3.7,5,0.13,308,83,24,95,102,842,,25,0.12,,Less than 0.01,3.2,0.5,42,2.5,,,,,,,,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",5.9,7.74,1690,20,18,,94,220,,,,18,Less than 1,460,228,76,10,5,0.17,404,109,32,24,98,1015,802,24,1.1,4.2,,20,0.24,33,2.1,,ND,ND,0.14,0.04,ND,ND,
4703,Lakes & Tanks ,Bulbubu kunta,3.2,7.83,2021,14,8,,32,350,,,,10,Less than 1,521,303,72,3.5,3,0.12,656,144,72,98,199,1150,,12,2.2,,Less than 0.01,7,0.88,39,3.4,,ND,0.03,0.23,0.04,ND,ND,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",3.3,7.36,1220,22,6,,23,350,,,,32,Less than 1,208,190,125,3.7,1,Less than 0.01,308,62,37,100,155,499,,32,1.8,,Less than 0.01,6.3,0.95,52,3.8,,ND,ND,0.25,0.06,ND,ND,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",2.8,7.5,1882,16,6,,49,350,,,,12,Less than 1,510,209,185,3.7,4,0.08,568,98,79,98,70,1072,,35,0.5,,Less than 0.01,18,0.5,20,1.3,,ND,0.03,0.14,0.03,ND,ND,
15,Borewells,Borewell at Koyyura,2.5,6.16,708,,1.8,,,,,,,8,Less than 1,220,68,20,Less than 1,Less than 1,Less than 0.01,240,45,25,21,47,444,,32,Less than 0.01,,Less than 0.01,7.1,0.28,31.16,1.39,,BDL,BDL,BDL,BDL,BDL,0.35,
1794,Borewells,Borewell at Manakondur,3.4,7.13,1134,,5.84,,,,,,,7,Less than 1,295,149,35,Less than 1,Less than 1,Less than 0.01,275,60,17,71,139,597,,6,Less than 0.01,,Less than 0.01,3.4,2.66,57.3,4.07,,BDL,BDL,BDL,BDL,BDL,BDL,
3094,Borewells,"Bore well at Akbarnagar, Ramagundam",3.2,7.96,860,,0.26,,,,,,,2,Less than 1,180,140,35,Less than 1,Less than 1,Less than 0.01,320,74,32.8,76,70.09,500,,6,0.1,,Less than 0.01,4.2,1.03,31.78,1.7,,BDL,BDL,BDL,BDL,0.47,ND,
1793,Borewells,Open well at Kundanpally near ash ponds of NTPC,3.8,7.12,1985,,0.85,,,,,,,2,Less than 1,320,270,63,Less than 1,Less than 1,Less than 0.01,665,122,55,144,215.4,1220,,8,0.2,,Less than 0.01,3.5,1.44,46.5,4.05,,0.16,BDL,BDL,BDL,BDL,BDL,
1791,Borewells,Borewell at Pydipally near East side of Sai cheruvu,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Borewells,"Borewell at CKM College, Enamamula",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Borewells,Open well at Tadavai,4,7.78,622,,9.4,,,,,,,9,Less than 1,190,58,21,Less than 1,Less than 1,Less than 0.01,290,74,20,5.8,58,381,,5,Less than 0.01,,Less than 0.01,3.04,0.53,31.65,1.54,,BDL,BDL,BDL,BDL,BDL,BDL,
1811,Borewells,Borewell at Rudravelli near Primary School,,7.49,1740,,16,0.31,,,,,,1.6,32,354,207,27,5.1,Less than 1,Less than 0.01,450.34,88,56,38,83,980,820,4,,0.48,Less than 0.01,10,0.32,27.91,1.69,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
27,Borewells,B/w at Peddavoora,,7.47,627,,4,0.28,,,,,,2.3,20,148,183,24,4.54,Less than 1,Less than 0.01,284,44,30,74,74,363.66,305,5,,0.65,Less than 0.01,2,0.36,40.38,2.1,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.3
1525,Borewells,Borewell at Pashamylaram near M/s.Sri Chaitanya Chlorides,,7.2,5580,,24,0.35,,,,,,2.9,30,405,545,56,9.3,Less than 1,Less than 0.01,830,280,105,188,188,3262,1924.58,12,,0.28,Less than 0.01,27,0.4,25.85,2.42,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1795,Borewells,Borewell at Bollaram near Panchayat Office,Sample was not collected motor pump was repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Borewells,"Borewell at Bodhan, Sriramnagar colony, Shakkarnagar, NZB",,7.28,2499,,20,0.32,,,,,,1.6,36,512,387,24,4.54,Less than 1,Less than 0.01,725,158,108,93,105,1428,913.92,4,,0.53,Less than 0.01,8,0.44,21.07,1.57,BDL,BDL,BDL,BDL,BDL,BDL,0.01,0.27
1515,Borewells,"Borewell at Nagaram, Palvancha",3.9,7.18,1320,,8.1,,,,,,,7,Less than 1,325,199,25,Less than 1,Less than 1,Less than 0.01,455,126,58.32,95,394.5,740,,6,0.09,,Less than 0.01,6.1,0.8,60.25,7.26,,0.22,BDL,BDL,ND,BDL,BDL,
3088,Borewells,"B/w at J.Narasimha Rao’s house, 14Nos. area, Ramavaram, near MWS dumpsite, Kothagudem",3.8,6.77,1393,,8.8,,,,,,,7,Less than 1,245,164,61,Less than 1,Less than 1,Less than 0.01,550,130,54.67,166,113.5,886,,6,0.9,,Less than 0.01,7.7,0.9,30.48,2.1,,0.16,BDL,BDL,BDL,BDL,BDL,
4261,Borewells,"Borewell at M/s Shalini Steels Ltd., IDA Bollaram, Jinnaram Mandal, Sangareddy District",,6.93,4250,,22,0.39,,,,,,2.8,40,460,598,105,19.84,Less than 1,Less than 0.01,1379.68,320,141,88,178,2480,1567.36,42,,0.3,Less than 0.01,14,0.5,21.59,2.08,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.26
4262,Borewells,"Borewell near Grampanchyat Office, Kistaipally village, Jinnarm Mandal, Sangareddy District",,7,2179,,22,0.41,,,,,,2.7,32,340,324,22,4.16,Less than 1,Less than 0.01,505,132,76,45,118,1274,791.15,28,,0.32,Less than 0.01,18,0.46,27.69,2.02,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.15
4263,Borewells,"Borewell near MPP School, Gaddapotharam Village, Jinnaram Mandal, Sangareddy District",,6.87,3690,,21,0.26,,,,,,2.1,26,310,468,72,13.61,Less than 1,Less than 0.01,975,228,107,42,143,2108,1268.17,24,,0.38,Less than 0.01,21,0.41,22.97,1.95,BDL,BDL,BDL,BDL,0.12,BDL,BDL,BDL
4276,Borewells,"Borewell near Grampanchyat Office, Khazipally village, Sangareddy District",,7.43,2259,,28,0.33,,,,,,2.6,28,290,310,26,4.91,Less than 1,Less than 0.01,488,120,69,30,128,1308,784.8,30,,0.22,Less than 0.01,14,0.37,31.49,2.3,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.14
4267,Borewells,Borewell IDA Kattedan,Sample was not collected motor pump was repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4260,Borewells,"Bore well near MSW Dump yard, Medak Town, Medak District",,7.46,1006,,14,0.41,,,,,,2.2,20,218,142,35,2.83,Less than 1,Less than 0.01,298.07,60,36,68,51,580,342.2,10,,0.34,Less than 0.01,8,0.32,26.33,1.28,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.27
4277,Borewells,"B/W at zphs,Sulthanpur",,7.15,5150,,27,0.52,,,,,,2.1,32,524,648,69,12.4,Less than 1,Less than 0.01,1357.25,327,158,144,204,3014,2778,27,,0.51,Less than 0.01,18,0.53,22.83,2.31,BDL,BDL,BDL,0.02,BDL,BDL,0.02,0.16
4278,Borewells,"B/W at Aurobindo, Hatnur, Sangareddy",,7.41,1686,,19,0.14,,,,,,12,20,312,228,57,10.77,Less than 1,Less than 0.01,473,114,64,78,71,984,600.24,15,,0.57,Less than 0.01,9,0.48,21.51,1.31,BDL,BDL,BDL,BDL,BDL,BDL,0.01,0.28
4279,Borewells,"B/W near M/s. Arch Pharma, Gundla machanur, Sangareddy",,7.27,1474,,9,0.16,,,,,,2.1,16,88,90,22,4.16,Less than 1,Less than 0.01,459,58,40,55,69,848,726,13,,0.59,Less than 0.01,13,0.55,31.36,1.7,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24
4280,Borewells,"B.w at IDA Rampur, Hanamkonda, Warangal",1,7.2,3792,,3.9,,,,,,,11,Less than 1,710,1355,218,Less than 1,Less than 1,Less than 0.01,905,172,80,408.7,108.7,2250,,6,0.1,,Less than 0.01,13.7,1.2,23.23,1.71,,BDL,BDL,BDL,BDL,0.23,0.49,
4266,Borewells,"Borewell, Near Primary School, Adloor Yellareddy (V), Sadashivanagar (M), Kamareddy Dist.",,7.06,1427,,11,0.21,,,,,,2.4,16,270,189,18,3.4,Less than 1,Less than 0.01,308,106,48,24,64,830,610,10,,0.66,Less than 0.01,7,0.52,22.69,1.29,BDL,BDL,BDL,BDL,BDL,BDL,0.01,BDL
4264,Borewells,"Bore well water point at ZP Girls high school, Bhudan Pochampally (V&M), Yadadri District.",,7.43,2481,,24,0.46,,,,,,2.3,28,498,610,25,5.86,Less than 1,Less than 0.01,805.19,138,107,78,121,1420,995,16,,0.72,Less than 0.01,9,0.59,24.69,1.87,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.27
4265,Borewells,"B/W at Gram panchayath office, Dothigudem",,7.45,1847,,21,0.23,,,,,,2.7,24,350,286,12,3.02,Less than 1,Less than 0.01,556,104,61,43,83,1021,825,12,,0.63,Less than 0.01,15,0.34,25.28,1.59,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4281,Borewells,"B/W near Bhimanpalli village (open land), Pochampally Mandal",,7.48,3350,,28,0.18,,,,,,3.1,32,648,710,18,5.67,Less than 1,Less than 0.01,800,224,90,104,143,1926,1336,18,,0.68,Less than 0.01,14,0.3,24.6,2.03,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24
4282,Borewells,"B/W near Aarla bavi (Agricultural field), Pochampally Mandal",,7.11,1482,,10,0.16,,,,,,2.6,24,392,197,11,3.02,Less than 1,Less than 0.01,500.28,102,56,26,67,868,621,26,,0.7,Less than 0.01,6,0.18,22.7,1.32,BDL,BDL,BDL,BDL,2.5,BDL,0.01,BDL
4283,Borewells,"B/W near Dantur (Open land), Pochampally Mandal",,7.23,4100,,28,0.19,,,,,,4.1,36,510,468,12,3.4,Less than 1,Less than 0.01,1030.53,210,112,50,147,2402,1465.22,8,,0.55,Less than 0.01,18,0.27,23.95,2.03,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.09
4284,Borewells,"B/W near malkapur lake, malkapur village (Agricultural field), Choutuppal Mandal",,7.4,1251,,10,0.33,,,,,,4.4,24,250,125,9,2.27,Less than 1,Less than 0.01,347.75,70,42,24,58,718,453.78,14,,0.47,Less than 0.01,7.2,0.31,25.98,1.35,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.07
4285,Borewells,"B/W near peddakondur village (Agricultural field), Choutuppal Mandal",,7.28,2800,,20,0.28,,,,,,2.3,28,280,240,24,4.54,Less than 1,Less than 0.01,420,124,52,39,118,1598,662,17,,0.46,Less than 0.01,14,0.42,32.02,2.24,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.18
4286,Borewells,"B/W near Ankireddigudem village (Agricultural field), Choutuppal Mandal",,7.2,1614,,16,0.37,,,,,,2.8,44,328,264,8,1.89,Less than 1,Less than 0.01,495,132,62,39,79,921,667,13,,0.52,Less than 0.01,8,0.33,22.29,1.42,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4287,Borewells,"B/W near Lingareddygudem village (Beside choutuppal-valigonda road), Choutuppal Mandal",,7.18,1210,,12,0.32,,,,,,3.6,32,284,144,12,2.27,Less than 1,Less than 0.01,410.92,86,44,24,58,710,543,9,,0.57,Less than 0.01,6.8,0.29,23.65,1.26,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.06
4288,Borewells,"B/W near Nagaram cheruvu, Devalamma nagaram village",,7.39,793,,8,0.18,,,,,,1.7,28,124,90,6,1.51,Less than 1,Less than 0.01,226.92,48,26,21,42,458,281.67,8,,0.49,Less than 0.01,4.5,0.28,28.06,1.21,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.29
4289,Borewells,"B/W near Pittam palle village (open land beside village road), Chityal Mandal",,7.39,1414,,12,0.22,,,,,,1.3,36,310,162,10,1.89,Less than 1,Less than 0.01,450,107,48,38,54,814,510,10,,0.45,Less than 0.01,5,0.46,19.85,1.09,BDL,BDL,BDL,BDL,0.13,BDL,0.01,0.03
4290,Borewells,"B/W near Peddakaparthi village (open land beside village road), Chityal Mandal",,7.28,799,,8,0.25,,,,,,2.1,24,118,85,6,1.13,Less than 1,Less than 0.01,180,50,28,21,40,447,390,6,,0.53,Less than 0.01,3.2,0.58,26.13,1.12,BDL,BDL,BDL,BDL,BDL,BDL,0.02,0.06
4224,Borewells,"Yadadri temple, Yadadri, Bore Well / Koneru",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4268,Borewells,"Borewell located at House of Sri Vital Rao, H.No.2-42, 875, Abestos colony, Gandhi Nagar, Balanagar, Medchal District",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4269,Borewells,"Borewell located at House of Sri P Vekatesh raju,plot no.115, 22-321,APIIC, Co-operative colony, Jeedimetla, Quthbullapur(M), Medchal District",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4270,Borewells,"Borewell located at house of P.Anjaneyulu , Plot No.25, Shakthipuram, Prashanth Nagar, I.E.Kukatpally, Medchal District",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4271,Borewells,"Borewell located at Government Primary School, Sy.No.32, Dhulapally (V), Quthbullapur (M), Medchal District.",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4272,Borewells,"Borewell located at Rajiv Gruha Kalpa, Ahmedguda, Ambedkar Nagar, Kapra Medchal District.",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4273,Borewells,"Borewell located at Thanda Dundigal (V), Dhundigal (M), Medchal District.",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4274,Borewells,"Borewell points at the periphery of the IDA, Jeedimetla",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4275,Borewells,"Borewell points at the periphery of the IDA, Balanagar",Sample not collected due to Covid - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
